order_id,customer_id,order_date,status,regions
1,359.0,2024-09-02 22:37:46,DELIVERED,SOUTH
2,485.0,2026-05-03 02:05:05,DELIVERED,WEST
3,468.0,2025-12-15 20:29:26,PLACED,WEST
4,212.0,2026-05-01 17:04:46,PLACED,NORTH
5,229.0,2024-12-24 04:24:15,DELIVERED,SOUTH
6,160.0,2025-02-19 00:18:33,DELIVERED,SOUTH
7,424.0,2026-03-31 04:49:15,CANCELLED,EAST
8,,2026-06-10 05:26:21,SHIPPED,EAST
9,75.0,2026-03-14 12:16:30,SHIPPED,EAST
10,119.0,2026-05-13 21:23:31,DELIVERED,EAST
11,92.0,2024-11-01 05:48:06,CANCELLED,SOUTH
12,184.0,2024-11-06 19:11:54,RETURNED,EAST
13,24.0,2024-11-17 07:02:58,CANCELLED,EAST
14,51.0,2024-11-16 00:59:42,CANCELLED,SOUTH
15,81.0,2025-06-27 20:39:50,PLACED,SOUTH
16,55.0,2024-09-10 12:59:51,CANCELLED,NORTH
17,342.0,2026-01-16 00:12:51,RETURNED,EAST
18,133.0,2025-06-08 15:38:20,CANCELLED,WEST
19,47.0,2026-02-14 08:27:33,SHIPPED,WEST
20,223.0,2025-12-02 16:25:55,PLACED,SOUTH
21,475.0,2025-02-17 12:13:43,CANCELLED,SOUTH
22,89.0,2026-01-18 19:22:30,RETURNED,NORTH
23,310.0,2024-11-09 22:09:23,SHIPPED,NORTH
24,386.0,2024-12-14 05:19:59,RETURNED,WEST
25,446.0,2025-09-06 06:37:24,PLACED,EAST
26,407.0,2025-03-24 19:56:14,RETURNED,WEST
27,126.0,2025-12-23 06:01:26,RETURNED,EAST
28,16.0,2026-02-07 06:18:49,DELIVERED,SOUTH
29,337.0,2026-03-27 17:24:20,DELIVERED,EAST
30,21.0,2026-01-30 04:49:05,SHIPPED,SOUTH
31,336.0,2026-04-10 20:43:35,DELIVERED,EAST
32,196.0,2024-12-15 10:39:56,PLACED,NORTH
33,454.0,2026-06-18 10:00:05,RETURNED,WEST
34,280.0,2025-12-09 00:46:41,CANCELLED,WEST
35,479.0,2026-05-09 12:35:11,SHIPPED,SOUTH
36,252.0,2025-04-25 09:23:53,DELIVERED,EAST
37,429.0,2025-05-19 04:53:18,DELIVERED,NORTH
38,257.0,2025-10-31 20:34:57,RETURNED,EAST
39,252.0,2025-09-21 19:19:27,PLACED,NORTH
40,431.0,2026-06-15 04:32:37,PLACED,WEST
41,134.0,2025-11-08 03:14:12,SHIPPED,EAST
42,242.0,2026-07-09 00:49:16,DELIVERED,EAST
43,189.0,2026-05-24 01:52:07,PLACED,SOUTH
44,193.0,2026-06-30 00:29:21,DELIVERED,EAST
45,138.0,2026-01-05 13:04:08,DELIVERED,NORTH
46,3.0,2024-12-20 18:00:02,DELIVERED,NORTH
47,252.0,2024-08-28 03:43:17,DELIVERED,NORTH
48,42.0,2025-08-29 03:28:08,RETURNED,SOUTH
49,187.0,2025-08-29 03:28:08,RETURNED,WEST
50,162.0,2024-08-15 08:35:07,SHIPPED,NORTH
51,468.0,2024-11-11 16:08:07,SHIPPED,WEST
52,122.0,2024-11-04 14:50:23,DELIVERED,WEST
