Product_id,Product_name,Category,Subcategory,Cost_price
1,macbook,Electronics,Laptop,2079
2,alchemist,Books,Education,3536
3,mixer,Home,Kitchen,2034
4,mice,Books,Comedy,2839
5, sony24 ,Electronics,Camera,4275
6,chair,Home,Furniture,4573
7,tillu,Books,Comedy,1819
8,tillu,Books,Comedy,4513
9,bed,Home,Furniture,1970
10,top,Clothing,Women,2307
11,lower,Clothing,Men,4870
12,cpp,Books,Education,3400
13,samsumgm31,Electronics,Mobile,2145
14,heaven,Books,Education,4658
15,omg,Books,Comedy,1094
16,dinning_set,Home,Kitchen,3602
17, box ,Home,Kitchen,4034
18,box,Home,Kitchen,2115
19,nikon300,Electronics,Camera,4762
20, table ,Home,Furniture,2543
21,jeans,Clothing,Kids,1929
22,box,Home,Kitchen,3356
23,jeans,Clothing,Women,3650
24,cpp,Books,Education,1815
25,nikon300,Electronics,Camera,3103
26,pajama,Clothing,Kids,4393
27,chair,Home,Furniture,3101
28,mixer,Home,Kitchen,2269
29,ideapad,Electronics,Laptop,2526
30,cpp,Books,Education,3836
31,alchemist,Books,Education,4981
32,macbook,Electronics,Laptop,4879
33,box,Home,Kitchen,1137
34,dinning_set,Home,Kitchen,4028
35, heaven ,Books,Education,2651
36,mixer,Home,Kitchen,1172
37, pajama ,Clothing,Kids,4888
38,box,Home,Kitchen,1716
39,pajama,Clothing,Kids,3396
40,alchemist,Books,Education,3441
41,macbook,Electronics,Laptop,4581
42, mixer ,Home,Kitchen,2673
43,top,Clothing,Women,3561
44,macbook,Electronics,Laptop,4577
45,jeans,Clothing,Men,3759
46,jeans,Clothing,Men,3403
47,sony24,Electronics,Camera,2894
48,lower,Clothing,Kids,2125
49,heaven,Books,Education,4678
50,lower,Clothing,Kids,3371
51,tillu,Books,Comedy,4555
52,top,Clothing,Women,2374
53,jeans,Clothing,Men,4665
54,sony24,Electronics,Camera,3406
55,lower,Clothing,Men,2494
56,vivo32,Electronics,Mobile,4916
57,omen,Electronics,Laptop,1326
58,dinning_set,Home,Kitchen,2855
59,canon200,Electronics,Camera,1172
60, dinning_set ,Home,Kitchen,1754
61,bed,Home,Furniture,1476
62,sony24,Electronics,Camera,3622
63,tillu,Books,Comedy,4860
64, canon200 ,Electronics,Camera,4185
65,heaven,Books,Education,2236
66,shirt,Clothing,Men,4555
67,macbook,Electronics,Laptop,2078
68,box,Home,Kitchen,4654
69,bed,Home,Furniture,3788
70,omg,Books,Comedy,1413
71,jeans,Clothing,Women,1228
72,canon200,Electronics,Camera,2343
73,canon200,Electronics,Camera,4644
74,bed,Home,Furniture,3850
75,alchemist,Books,Education,2464
76,oppo51,Electronics,Mobile,2229
77,omen,Electronics,Laptop,1781
78,mixer,Home,Kitchen,2864
79, skirt ,Clothing,Women,4611
80,table,Home,Furniture,1989
81,alchemist,Books,Education,1138
82,macbook,Electronics,Laptop,3352
83,mice,Books,Comedy,3549
84,omg,Books,Comedy,3887
85,heaven,Books,Education,3232
86, alchemist ,Books,Education,4764
87,cpp,Books,Education,3482
88,omg,Books,Comedy,4127
89,box,Home,Kitchen,1746
90,alchemist,Books,Education,4677
91,heaven,Books,Education,1216
92,shirt,Clothing,Men,3744
93,lower,Clothing,Kids,1533
94,canon200,Electronics,Camera,4444
95,vivo32,Electronics,Mobile,2419
96,ideapad,Electronics,Laptop,3522
97,mice,Books,Comedy,3604
98,bed,Home,Furniture,3223
99,lower,Clothing,Men,1647
100,samsumgm31,Electronics,Mobile,4307
101,alchemist,Books,Education,3037
102,bed,Home,Furniture,4142
103,jeans,Clothing,Women,2120
104,omen,Electronics,Laptop,2807
105,oppo51,Electronics,Mobile,2063
106,ideapad,Electronics,Laptop,4886
107, skirt ,Clothing,Women,4700
108,omen,Electronics,Laptop,4251
109,pajama,Clothing,Kids,3744
110,mice,Books,Comedy,3373
111,shirt,Clothing,Men,3149
112,nikon300,Electronics,Camera,4426
113,pajama,Clothing,Kids,1712
114,samsumgm31,Electronics,Mobile,1115
115,nikon300,Electronics,Camera,4579
116,shirt,Clothing,Men,2921
117,heaven,Books,Education,4247
118,bed,Home,Furniture,3835
119,vivo32,Electronics,Mobile,2697
120,sony24,Electronics,Camera,4899
121,skirt,Clothing,Women,4387
122,sony24,Electronics,Camera,2137
123,bed,Home,Furniture,4866
124,macbook,Electronics,Laptop,1257
125,oppo51,Electronics,Mobile,3154
126,omg,Books,Comedy,1641
127,cpp,Books,Education,4744
128,alchemist,Books,Education,3661
129,lower,Clothing,Kids,2434
130,pajama,Clothing,Kids,1872
131,skirt,Clothing,Women,4127
132,alchemist,Books,Education,3810
133,nikon300,Electronics,Camera,3547
134,alchemist,Books,Education,3231
135,table,Home,Furniture,2837
136,nikon300,Electronics,Camera,3087
137,box,Home,Kitchen,3481
138,tillu,Books,Comedy,4012
139,heaven,Books,Education,2100
140,mixer,Home,Kitchen,1730
141,omg,Books,Comedy,1069
142,alchemist,Books,Education,1960
143,jeans,Clothing,Kids,1294
144,mixer,Home,Kitchen,3560
